time_s,current_A,voltage_V,cell_temperature_C,environment_temperature_C
0,-0,3.769466,0,0
235.743999999948,-0,3.7182864,26.74,24.4
559.743999999948,-0,3.708762,26.23,0
835.743999999948,-0,3.7057548,25.92,24.4
1435.74399999995,-0,3.7045504,25.5,24.3
2035.74399999995,-0,3.7034428,25.26,24.2
2635.74399999995,-0,3.7030588,25.16,24.3
3235.74399999995,-0,3.7030672,25.05,24.1
3835.74399999995,-0,3.7024848,24.99,24.2
4435.74399999995,-0,3.702178,24.96,24.1
5035.74399999995,-0,3.7025408,24.9,24
5635.74399999995,-0,3.7019868,24.85,24.1
6235.74399999995,-0,3.7019928,24.84,24.1
6835.74399999995,-0,3.7019664,24.81,23.9
7435.74399999995,-0,3.7017924,24.79,24.2
8035.74399999995,-0,3.7017756,24.79,24.1
8635.74399999995,-0,3.7017248,24.77,24
9235.74399999995,-0,3.7018504,24.76,24
9835.74399999995,-0,3.7013876,24.75,24
10435.7439999999,-0,3.7017504,24.71,23.9
11035.7439999999,-0,3.7014648,24.7,24
11635.7439999999,-0,3.701668,24.72,24
12235.7439999999,-0,3.7013796,24.69,23.9
12835.7439999999,-0,3.7013704,24.7,23.9
13435.7439999999,-0,3.7013868,24.71,24.1
14035.7439999999,-0,3.7012732,24.7,23.9
14635.7439999999,-0,3.7011576,24.7,23.9
15235.7439999999,-0,3.7012708,24.7,24
15835.7439999999,-0,3.7005404,24.69,23.9
16435.7439999999,-0,3.7012732,24.68,23.9
17035.7439999999,-0,3.7012696,24.68,24
17635.7439999999,-0,3.7012376,24.69,24
18235.7439999999,-0,3.7011516,24.67,23.9
18835.7439999999,-0,3.7008688,24.67,23.9
19435.7439999999,-0,3.7012564,24.68,23.9
20035.7439999999,-0,3.7012832,24.64,23.8
20635.7439999999,-0,3.700948,24.66,23.9
21235.7439999999,-0,3.7009652,24.64,23.9
21835.7439999999,-0,3.7009988,24.63,23.9
22435.7439999999,-0,3.7010384,24.64,23.9
23035.7439999999,-0,3.7005372,24.63,23.9
23635.7439999999,-0,3.7009048,24.63,23.9
24235.7439999999,-0,3.7011128,24.62,23.8
24835.7439999999,-0,3.700982,24.6,23.9
25435.7439999999,-0,3.701276,24.6,23.8
26035.7439999999,-0,3.7007556,24.58,23.8
26635.7439999999,-0,3.700742,24.59,24.1
27235.7439999999,-0,3.7010696,24.6,24.1
27835.7439999999,-0,3.700882,24.58,24.1
28435.7439999999,-0,3.7011332,24.6,24.1
29035.7439999999,-0,3.7008928,24.61,24.1
29635.7439999999,-0,3.7010704,24.58,24.1
30235.7439999999,-0,3.700788,24.59,24.1
30835.7439999999,-0,3.7011276,24.59,24
31435.7439999999,-0,3.7004924,24.6,24
32035.7439999999,-0,3.7007112,24.59,24
32635.7439999999,-0,3.7006364,24.59,24
33235.7439999999,-0,3.70101,24.58,24
33835.7439999999,-0,3.7005884,24.59,23.8
34435.7439999999,-0,3.7005872,24.56,23.8
35035.7439999999,-0,3.7008304,24.56,23.9
35635.7439999999,-0,3.7010348,24.56,23.9
36235.7439999999,-0,3.7006528,24.55,23.8
36835.7439999999,-0,3.7006848,24.56,23.9
37435.7439999999,-0,3.7006616,24.59,23.8
38035.7439999999,-0,3.700448,24.6,23.8
38635.7439999999,-0,3.700694,24.59,23.5
39235.7439999999,-0,3.7009664,24.56,23.6
39835.7439999999,-0,3.7005808,24.59,23.7
40435.7439999999,-0,3.7004808,24.58,23.6
41035.7439999999,-0,3.7005292,24.58,23.8
41635.7439999999,-0,3.700816,24.61,24
42235.7439999999,-0,3.7001836,24.59,23.8
42835.7439999999,-0,3.70063,24.61,23.9
43435.7439999999,-0,3.7004596,24.62,23.9
44035.7439999999,-0,3.700356,24.6,24.2
44635.7439999999,-0,3.7008868,24.6,23.9
45235.7439999999,-0,3.7006768,24.61,23.8
45835.7439999999,-0,3.7005224,24.57,23.6
46435.7439999999,-0,3.7007316,24.59,23.9
47035.7439999999,-0,3.7003636,24.59,23.8
47635.7439999999,-0,3.7003872,24.59,23.7
48235.7439999999,-0,3.7006884,24.6,23.6
48835.7439999999,-0,3.7007732,24.59,23.7
49435.7439999999,-0,3.7005524,24.57,23.7
50035.7439999999,-0,3.7005232,24.58,23.7
50635.7439999999,-0,3.7007684,24.57,23.6
51235.7439999999,-0,3.70043,24.58,23.7
51835.7439999999,-0,3.7006692,24.64,23.8
52435.7439999999,-0,3.70065,24.68,24
53035.7439999999,-0,3.7005248,24.71,24
53635.7439999999,-0,3.7003352,24.74,24.1
54235.7439999999,-0,3.700494,24.74,24.1
54835.7439999999,-0,3.700642,24.75,24.2
55435.7439999999,-0,3.7002544,24.77,24
56035.7439999999,-0,3.7003272,24.76,23.9
56635.7439999999,-0,3.7004104,24.8,24
57235.7439999999,-0,3.7004316,24.8,24.1
57835.7439999999,-0,3.7005928,24.78,23.8
58435.7439999999,-0,3.7003124,24.8,23.9
59035.7439999999,-0,3.7004664,24.8,23.8
59635.7439999999,-0,3.7004808,24.77,23.9
60235.7439999999,-0,3.700498,24.79,23.9
60835.7439999999,-0,3.7007668,24.77,23.7
61435.7439999999,-0,3.7003508,24.79,23.8
62035.7439999999,-0,3.700368,24.79,23.9
62635.7439999999,-0,3.7001112,24.78,23.8
63235.7439999999,-0,3.7004672,24.76,23.8
63835.7439999999,-0,3.7005928,24.78,23.8
64435.7439999999,-0,3.7006484,24.77,23.7
64799.9989999998,2.6875,3.7010688,0,0
65035.7439999999,2.6951,3.6784524,24.73,23.8
65635.7439999999,2.6947,3.6638784,24.71,23.9
66235.7439999999,2.7522,3.651734,24.71,23.9
66835.7439999999,2.8544,3.6410624,24.67,23.8
67435.7439999999,2.8539,3.6308884,24.68,24.1
68035.7439999999,3.0121,3.6199148,24.72,24.1
68399.9989999998,5.476,3.6119152,0,0
68635.7439999999,5.656,3.5840444,24.8,24.1
69235.7439999999,5.655,3.547922,25.17,24.4
69835.7439999999,5.656,3.5131588,25.48,24.2
70435.7439999999,5.655,3.4685264,25.66,24.2
71034.541,5.155,3.419782,0,0
71035.7439999999,5.144,3.4200084,25.7,24
71074.861,4.644,3.419782,0,0
71124.8289999999,4.1438,3.4197344,0,0
71185.878,3.6433,3.419794,0,0
71257.334,3.1428,3.4199844,0,0
71338.9309999999,2.6424,3.4198772,0,0
71441.915,2.1419,3.4198056,0,0
71564.736,1.6419,3.419782,0,0
71635.7439999999,1.3965,3.4196388,25.55,24.1
71815.8599999999,0.8964,3.4196032,0,0
71999.9989999998,-0,3.4199368,0,0
72235.7439999999,-0,3.4283568,25.3,23.9
72835.7439999999,-0,3.432372,25.14,24.1
73435.7439999999,-0,3.434516,25.11,24.4
74035.7439999999,-0,3.435302,25.1,24.4
74635.7439999999,-0,3.4360988,25.09,24.5
75235.7439999999,-0,3.4372184,25.11,24.7
75835.7439999999,-0,3.4377504,25.09,24.5
76435.7439999999,-0,3.4381904,25.11,24.7
77035.7439999999,-0,3.4387224,25.11,24.8
77635.7439999999,-0,3.4392576,25.15,24.8
78235.7439999999,-0,3.439514,25.11,24.5
78835.7439999999,-0,3.4403596,25.1,24.7
79435.7439999999,-0,3.4401956,25.11,24.8
80035.7439999999,-0,3.4406584,25.08,24.8
80635.7439999999,-0,3.4407024,25.09,24.7
81235.7439999999,-0,3.4414144,25.11,24.7
81835.7439999999,-0,3.441476,25.06,24.4
82435.7439999999,-0,3.4415468,25.05,24.3
83035.7439999999,-0,3.44181,25.06,24.5
83635.7439999999,-0,3.4419588,25,24.2
84235.7439999999,-0,3.442448,25.02,24.2
