time_s,current_A,voltage_V,cell_temperature_C,environment_temperature_C
0,10.028,3.7497372,0,0
167.16100000008,10.016,3.6566388,27.06,24.1
424.16100000008,10.016,3.6301676,26.55,0
767.16100000008,10.014,3.6047628,26.1,24
899.999000000069,7.58,3.5944524,0,0
1367.16100000008,7.57,3.5742884,25.79,24.3
1799.99900000007,6.14,3.5379528,0,0
1967.16100000008,6.128,3.5340536,26.06,24.2
2567.16100000008,6.128,3.49119,26.17,24.1
2699.99900000007,3.1579,3.479366,0,0
3167.16100000008,3.1399,3.4747644,25.92,24
3599.99900000007,0.12597,3.457848,0,0
3767.16100000008,0.126,3.4786316,25.65,23.9
4367.16100000008,0.126,3.4805868,25.37,23.9
4967.16100000008,0.12699,3.4804916,25.21,23.9
5567.16100000008,0.11298,3.4804636,25.12,23.8
6167.16100000008,0.11299,3.4802744,25.04,23.8
6767.16100000008,0.064,3.480198,24.98,23.7
7367.16100000008,-0.014001,3.480856,24.94,23.7
7967.16100000008,-0.013998,3.4814604,24.91,23.7
8567.16100000008,0.001,3.481396,24.89,23.8
9167.16100000008,0.013001,3.4816076,24.87,23.7
9767.16100000008,0.013,3.4817484,24.85,23.8
10367.1610000001,0.007,3.4818928,24.84,23.7
10967.1610000001,-0.06,3.4824788,24.81,23.6
11567.1610000001,-0.06,3.4836548,24.78,23.7
12167.1610000001,-0.049,3.4847452,24.78,23.7
12767.1610000001,-0.029005,3.484636,24.77,23.6
13367.1610000001,-0.028998,3.4854032,24.76,23.6
13967.1610000001,-0.002,3.4853776,24.77,23.7
14567.1610000001,-0.002,3.4856724,24.77,23.7
15167.1610000001,-0.001999,3.485842,24.76,23.6
15767.1610000001,0.026999,3.4847544,24.76,23.6
16367.1610000001,0.052,3.4844136,24.76,23.7
16967.1610000001,0.052,3.4835028,24.75,23.6
17567.1610000001,0.055,3.4827948,24.74,23.6
18167.1610000001,-0.003999,3.482166,24.74,23.7
18767.1610000001,-0.003999,3.4824292,24.75,23.7
19367.1610000001,0.003999,3.4824852,24.74,23.6
19967.1610000001,0.005999,3.4825608,24.73,23.7
20567.1610000001,0.005998,3.4825852,24.73,23.5
21167.1610000001,0.000998,3.4827104,24.71,23.6
21767.1610000001,-0.10798,3.4840856,24.7,23.6
22367.1610000001,-0.10799,3.4862788,24.7,23.6
22967.1610000001,-0.121,3.4881012,24.69,23.6
23567.1610000001,-0.14299,3.4897712,24.68,23.6
24167.1610000001,-0.14299,3.4916808,24.69,23.6
24767.1610000001,-0.17398,3.4938876,24.67,23.6
25199.9990000001,-2.1119,3.4954396,0,0
25367.1610000001,-2.1128,3.5140164,24.65,23.6
25967.1610000001,-2.1127,3.5370816,24.62,23.5
26099.9990000001,-2.7259,3.5419168,0,0
26567.1610000001,-2.7228,3.5658692,24.59,23.5
27167.1610000001,-2.9983,3.5906576,24.59,23.7
27767.1610000001,-2.9975,3.6113884,24.61,23.8
28367.1610000001,-3.3581,3.633654,24.63,23.7
28799.9990000001,-4.0297,3.6460324,0,0
28967.1610000001,-4.025,3.653744,24.68,23.9
29567.1610000001,-4.0246,3.6675364,24.81,23.8
30167.1610000001,-4.0807,3.6795512,24.95,23.7
30599.9990000001,-4.8375,3.6893212,0,0
30767.1610000001,-4.8346,3.697008,25.08,23.7
31367.1610000001,-4.8354,3.715864,25.18,23.8
31967.1610000001,-5.063,3.7400028,25.3,23.8
32399.9990000001,-0.13112,3.7607452,0,0
32567.1610000001,-0.13099,3.7293692,25.27,23.7
33167.1610000001,-0.13101,3.7253928,25,23.7
33767.1610000001,-0.08299,3.7249532,24.86,23.6
34367.1610000001,-0.14497,3.7254016,24.8,23.7
34967.1610000001,-0.14499,3.726492,24.74,23.4
35567.1610000001,-0.41399,3.7306584,24.71,23.5
36167.1610000001,-0.23601,3.7312576,24.71,23.6
36767.1610000001,-0.23603,3.7325748,24.68,23.4
36899.9990000001,-1.071,3.732716,0,0
37367.1610000001,-1.0769,3.744876,24.71,23.5
37799.9990000001,-1.6674,3.7499352,0,0
37967.1610000001,-1.667,3.7568512,24.75,23.6
38567.1610000001,-1.6666,3.7686712,24.8,23.6
39167.1610000001,-1.6779,3.7813892,24.82,23.4
39599.9990000001,0.704,3.7909792,0,0
39767.1610000001,0.7049,3.769772,24.78,23.4
40367.1610000001,0.7049,3.756726,24.69,23.6
40967.1610000001,0.24701,3.7550588,24.64,23.5
41567.1610000001,0.025999,3.7544916,24.65,23.6
42167.1610000001,0.026001,3.754594,24.68,23.7
42767.1610000001,-0.16699,3.7569116,24.67,23.6
43199.9990000001,11.424,3.7586884,0,0
43367.1610000001,11.737,3.68116,24.68,23.7
43967.1610000001,11.737,3.6108972,24.83,23.8
44099.9990000001,9.845,3.5984404,0,0
44567.1610000001,9.84,3.5742256,25.01,24
44999.9990000001,7.516,3.5410748,0,0
45167.1610000001,7.496,3.541398,25.39,23.9
45767.1610000001,7.498,3.4963624,25.78,23.7
45899.9990000001,4.529,3.4844432,0,0
46367.1610000001,4.5043,3.4755436,25.68,23.7
46799.9990000001,0.28327,3.4493052,0,0
46967.1610000001,0.28295,3.4784796,25.44,23.6
47567.1610000001,0.28297,3.4798912,25.1,23.6
48167.1610000001,0.21898,3.4796856,24.91,23.4
48767.1610000001,0.17398,3.4792792,24.82,23.5
49367.1610000001,0.174,3.4787032,24.77,23.6
49967.1610000001,0.097,3.4791464,24.7,23.4
50567.1610000001,-0.020998,3.480172,24.68,23.4
51167.1610000001,-0.021001,3.4811508,24.65,23.4
51767.1610000001,-0.017,3.4815888,24.63,23.4
52367.1610000001,-0.015999,3.4822136,24.67,23.6
52967.1610000001,-0.016,3.4826328,24.71,23.7
53567.1610000001,0.000999,3.4830172,24.74,23.7
53999.9990000001,-8.842,3.4832216,0,0
54167.1610000001,-9.16,3.5693144,24.77,23.9
54767.1610000001,-9.16,3.6449448,24.92,23.9
54899.9990000001,-7.122,3.6563844,0,0
55367.1610000001,-7.106,3.668928,25.05,24
55799.9990000001,-5.949,3.6859472,0,0
55967.1610000001,-5.937,3.6862456,25.27,24
56567.1610000001,-5.937,3.7067244,25.4,23.7
56699.9990000001,-6.566,3.7109332,0,0
57167.1610000001,-6.565,3.7363056,25.57,23.8
57599.9990000001,-1.8925,3.7612328,0,0
57767.1610000001,-1.8838,3.7362868,25.64,23.9
58367.1610000001,-1.8841,3.744932,25.35,23.7
