time_s,BMR_A,BMP_A,SPM_A
0,7.06,8.0593e-14,10.016
900,7.3704,8.0593e-14,7.571
1800,8.2148,8.0593e-14,6.1276
2700,11.291,7.8704e-14,3.1397
3600,-0.00011333,4.0296e-15,0.12629
4500,-7.0519e-05,4.0296e-15,0.1268
5400,7.3667e-05,4.0296e-15,0.11291
6300,0.00011019,4.0296e-15,0.064176
7200,-0.00010704,-2.0148e-15,-0.014322
8100,-7.6185e-05,0,0.00093916
9000,7.1778e-05,0,0.012748
9900,0.00011081,0,0.0072975
10800,-0.00012089,-2.0148e-15,-0.059687
11700,-6.9889e-05,-2.0148e-15,-0.048615
12600,6.9259e-05,-2.0148e-15,-0.028963
13500,0.000119,-2.0148e-15,-0.0018149
14400,-0.00016119,-2.0148e-15,-0.0019239
15300,-4.7096e-05,-2.0148e-15,0.027474
16200,8.3111e-05,-2.0148e-15,0.05243
17100,0.00012719,-2.0148e-15,0.055458
18000,-0.00011144,-4.0296e-15,-0.00407
18900,-7.2407e-05,-4.0296e-15,0.0042528
19800,7.5556e-05,-4.0296e-15,0.0056512
20700,0.0001083,-4.0296e-15,0.00059311
21600,-0.0001083,-1.2089e-14,-0.10791
22500,-7.5556e-05,-1.2089e-14,-0.12071
23400,7.2407e-05,-1.4104e-14,-0.14293
24300,0.00011144,-1.2089e-14,-0.17435
25200,-7.9963e-05,-1.0074e-14,-2.1125
26100,-3.3937e-05,-1.2089e-14,-2.7228
27000,0.0001127,-1.0074e-14,-2.998
27900,1.1396e-06,-1.2089e-14,-3.3583
28800,-21.649,-1.0074e-14,-4.0254
29700,-13.394,-1.2089e-14,-4.0811
30600,-14.114,-1.4104e-14,-4.8351
31500,-18.716,-1.4104e-14,-5.0636
32400,0.00010893,-2.0148e-15,-0.13143
33300,7.4296e-05,-2.0148e-15,-0.08288
34200,-7.3037e-05,-4.0296e-15,-0.14537
35100,-0.00011019,-4.0296e-15,-0.41373
36000,0.00011081,-2.0148e-15,-0.23561
36900,7.1778e-05,-2.0148e-15,-1.0765
37800,-7.6185e-05,-2.0148e-15,-1.6674
38700,-0.00010641,-2.0148e-15,-1.6782
39600,0.00011144,6.0444e-15,0.70535
40500,7.3667e-05,6.0444e-15,0.2465
41400,-7.0519e-05,6.0444e-15,0.026229
42300,-0.00011396,6.0444e-15,-0.16676
43200,18.907,1.1711e-13,11.738
44100,14.993,1.1711e-13,9.8386
