timestamp,price_eur_mwh,DELIVERY_MTU,DAM_Price_EUR_MWh
2026-05-01 00:00:00,98.66,2026-05-01 00:00:00,98.66
2026-05-01 00:15:00,97.73,2026-05-01 00:15:00,97.73
2026-05-01 00:30:00,97.09,2026-05-01 00:30:00,97.09
2026-05-01 00:45:00,96.74,2026-05-01 00:45:00,96.74
2026-05-01 01:00:00,93.7,2026-05-01 01:00:00,93.7
2026-05-01 01:15:00,93.01,2026-05-01 01:15:00,93.01
2026-05-01 01:30:00,92.21,2026-05-01 01:30:00,92.21
2026-05-01 01:45:00,92.24,2026-05-01 01:45:00,92.24
2026-05-01 02:00:00,89.84,2026-05-01 02:00:00,89.84
2026-05-01 02:15:00,89.39,2026-05-01 02:15:00,89.39
2026-05-01 02:30:00,89.13,2026-05-01 02:30:00,89.13
2026-05-01 02:45:00,89.18,2026-05-01 02:45:00,89.18
2026-05-01 03:00:00,87.69,2026-05-01 03:00:00,87.69
2026-05-01 03:15:00,87.58,2026-05-01 03:15:00,87.58
2026-05-01 03:30:00,87.69,2026-05-01 03:30:00,87.69
2026-05-01 03:45:00,87.69,2026-05-01 03:45:00,87.69
2026-05-01 04:00:00,88.6,2026-05-01 04:00:00,88.6
2026-05-01 04:15:00,88.7,2026-05-01 04:15:00,88.7
2026-05-01 04:30:00,88.89,2026-05-01 04:30:00,88.89
2026-05-01 04:45:00,90.0,2026-05-01 04:45:00,90.0
2026-05-01 05:00:00,95.48,2026-05-01 05:00:00,95.48
2026-05-01 05:15:00,96.75,2026-05-01 05:15:00,96.75
2026-05-01 05:30:00,97.67,2026-05-01 05:30:00,97.67
2026-05-01 05:45:00,98.69,2026-05-01 05:45:00,98.69
2026-05-01 06:00:00,108.48,2026-05-01 06:00:00,108.48
2026-05-01 06:15:00,110.11,2026-05-01 06:15:00,110.11
2026-05-01 06:30:00,110.43,2026-05-01 06:30:00,110.43
2026-05-01 06:45:00,110.93,2026-05-01 06:45:00,110.93
2026-05-01 07:00:00,114.5,2026-05-01 07:00:00,114.5
2026-05-01 07:15:00,114.34,2026-05-01 07:15:00,114.34
2026-05-01 07:30:00,113.68,2026-05-01 07:30:00,113.68
